"","Organism","Limb.Width","unitsW","Limb.Length","unitsL"
"1","Ambigua",4.03933220915194,"cm",259.919715120396,"mm"
"2","Galeata",21.3455515528025,"mm",154.630032713003,"cm"
"3","Jollyi",7.30029320104545,"cm",61.5663102419481,"cm"
"4","Longispina",0.0479571409544537,"mm",81.7375498233707,"cm"
"5","Magna",6.09879470523382,"mm",178.503210668488,"cm"
"6","Parvula",20.6228138381128,"mm",166.9106003264,"mm"
"7","Pulex",9.58173693715144,"cm",129.595621497234,"mm"
"8","Pulicaria",6.94122680780199,"cm",59.6722266149871,"cm"
"9","Spinulata",1.82508841249566,"cm",0.765926619945276,"mm"
"10","Vetulus",19.8795638486182,"mm",1.31389770439969,"cm"
